zone_id,count,centroid_lat,centroid_lng,sample_addresses,google_maps_link
Zone D,122,29.436425669446354,-98.52015419053357,"2422 SPICEWOOD DR, SAN ANTONIO, TX 78213 | 2402 VALENCIA, SAN ANTONIO, TX 78237 | 4330 ROARK DR, SAN ANTONIO, TX 78219","https://www.google.com/maps/search/?api=1&query=29.436425669446354,-98.52015419053357"
Zone C,41,29.502384063195898,-98.35619169080704,"9802 COPPERWAY, CONVERSE, TX 78109 | 4130 TROPICAL DR, SAN ANTONIO, TX 78218 | 6823 EMERALD VALLEY, SAN ANTONIO, TX 78242","https://www.google.com/maps/search/?api=1&query=29.502384063195898,-98.35619169080704"
Zone B,36,29.51356479036777,-98.6926053974461,"8902 LAGUNA FALLS, SAN ANTONIO, TX 78251 | 12443 ALSTROEMERIA, SAN ANTONIO, TX 78253 | 14507 GOLD RUSH PASS, SAN ANTONIO, TX 78254","https://www.google.com/maps/search/?api=1&query=29.51356479036777,-98.6926053974461"
Zone E,26,29.56900647139211,-98.40377935556192,"10822 EDGECREST DR, SAN ANTONIO, TX 78217 | 13203 MONTE RIO, SAN ANTONIO, TX 78233 | 3535 OAKHORNE ST, SAN ANTONIO, TX 78247","https://www.google.com/maps/search/?api=1&query=29.56900647139211,-98.40377935556192"
Zone F,21,29.41473865877543,-98.6817635856388,"10342 OAKWOOD CREST, SAN ANTONIO, TX 78245 | 10222 FOSSIL VLY, SAN ANTONIO, TX 78245 | 3233 NW LOOP 410, SAN ANTONIO, TX 78213","https://www.google.com/maps/search/?api=1&query=29.41473865877543,-98.6817635856388"
Zone J,13,29.61202597352739,-98.50832040758563,"24219 GAZANIA BLF, SAN ANTONIO, TX 78260 | 1403 BARKMORE, SAN ANTONIO, TX 78258 | 14239 SAGE TRAIL, SAN ANTONIO, TX 78231","https://www.google.com/maps/search/?api=1&query=29.61202597352739,-98.50832040758563"
Zone H,12,29.35657477174117,-98.61797836593576,"8219 RADIANT STAR, SAN ANTONIO, TX 78252 | 8431 CREEK BEND, SAN ANTONIO, TX 78242 | 6806 COUGAR COVE, SAN ANTONIO, TX 78242","https://www.google.com/maps/search/?api=1&query=29.35657477174117,-98.61797836593576"
Zone I,8,29.38661761121375,-98.37995225995624,"5815 HEMATITE RIM, SAN ANTONIO, TX 78222 | 2426 TUCKER DR, SAN ANTONIO, TX 78222 | 6010 PLEASANT LAKE, SAN ANTONIO, TX 78222","https://www.google.com/maps/search/?api=1&query=29.38661761121375,-98.37995225995624"
Zone R,8,29.360901368995123,-98.428225875278,"315 JUNIPER ST, SAN ANTONIO, TX 78223 | 4210 GOLDEN SPICE DR, SAN ANTONIO, TX 78222 | 154 BANBRIDGE AVE, SAN ANTONIO, TX 78223","https://www.google.com/maps/search/?api=1&query=29.360901368995123,-98.428225875278"
Zone U,6,29.667783554287997,-98.45602178777601,"24210 MOUNTAIN BEND, SAN ANTONIO, TX 78258 | 23418 SEVEN WINDS, SAN ANTONIO, TX 78258 | 23418 SEVEN WINDS, SAN ANTONIO, TX 78258","https://www.google.com/maps/search/?api=1&query=29.667783554287997,-98.45602178777601"
Zone K,5,29.180048275642,-98.40517736601541,"3907 ANAQUA DR, ELMENDORF, TX 78112 | 23139 WHITE HICKORY, ELMENDORF, TX 78112 | 4807 LOST HILLS DR, ELMENDORF, TX 78112","https://www.google.com/maps/search/?api=1&query=29.180048275642,-98.40517736601541"
Zone M,4,29.17492330260425,-98.45068029981725,"22819 MASON PASS, SAN ANTONIO, TX 78264 | 3191 WOODFIN DR, SAN ANTONIO, TX 78264 | 3191 WOODFIN DR, SAN ANTONIO, TX 78264","https://www.google.com/maps/search/?api=1&query=29.17492330260425,-98.45068029981725"
Zone N,4,29.560514912453,-98.61865580163675,"13115 WILLOWTHORN LN, SAN ANTONIO, TX 78249 | 6119 AMHERST BAY, SAN ANTONIO, TX 78249 | 11731 SPRING LIFE DR, SAN ANTONIO, TX 78249","https://www.google.com/maps/search/?api=1&query=29.560514912453,-98.61865580163675"
Zone A,3,29.415800284559666,-98.61723811215633,"711 S BROWNLEAF ST, SAN ANTONIO, TX 78227 | 6459 TAHOKA ST, SAN ANTONIO, TX 78227 | 6531 TAHOKA ST, SAN ANTONIO, TX 78227","https://www.google.com/maps/search/?api=1&query=29.415800284559666,-98.61723811215633"
Zone L,3,29.687926651818998,-98.64384072524366,"25859 GREEN TER, SAN ANTONIO, TX 78255 | 7659 MISSION LEDGE, BOERNE, TX 78015 | 7755 SAN MIRIENDA, BOERNE, TX 78015","https://www.google.com/maps/search/?api=1&query=29.687926651818998,-98.64384072524366"
Zone P,3,29.43122760519334,-98.79914844223732,"730 FIRENZE AVE, SAN ANTONIO, TX 78245 | 15111 PINTAIL, SAN ANTONIO, TX 78253 | 15210 REDBIRD MNR, SAN ANTONIO, TX 78253","https://www.google.com/maps/search/?api=1&query=29.43122760519334,-98.79914844223732"
